PIXEL,LATITUDE,LONGITUDE
79,41.32651193,-74.11122334
80,41.32362894,-74.09930202
81,41.32074468,-74.0873818
82,41.31785913,-74.07546268
83,41.31497231,-74.06354464
84,41.3120842,-74.0516277
85,41.30919481,-74.03971186
86,41.30630415,-74.02779711
87,41.30341221,-74.01588345
88,41.30051898,-74.0039709
89,41.29762448,-73.99205943
90,41.2947287,-73.98014907
91,41.29183164,-73.9682398
92,41.2889333,-73.95633163
93,41.28603368,-73.94442455
94,41.28313278,-73.93251857
95,41.28023061,-73.92061369
96,41.27732716,-73.90870991
97,41.27442243,-73.89680723
98,41.27151642,-73.88490565
99,41.26860914,-73.87300516
100,41.26570058,-73.86110578
101,41.26279074,-73.84920749
102,41.25987963,-73.83731031
103,41.25696724,-73.82541423
104,41.25405357,-73.81351924
105,41.25113863,-73.80162536
106,41.39202157,-74.42534341
107,41.38917236,-74.41339533
108,41.38632188,-74.40144833
109,41.3834701,-74.38950242
110,41.38061704,-74.37755759
111,41.3777627,-74.36561385
112,41.37490707,-74.35367119
113,41.37205016,-74.34172961
114,41.36919196,-74.32978913
115,41.36633248,-74.31784973
116,41.36347171,-74.30591141
117,41.36060966,-74.29397419
118,41.35774633,-74.28203805
119,41.35488172,-74.270103
120,41.35201582,-74.25816904
121,41.34914864,-74.24623616
122,41.34628017,-74.23430438
123,41.34341043,-74.22237368
124,41.3405394,-74.21044407
125,41.33766709,-74.19851555
126,41.33479349,-74.18658813
127,41.33191862,-74.17466179
128,41.32904246,-74.16273655
129,41.32616502,-74.15081239
130,41.32328631,-74.13888933
131,41.32040631,-74.12696736
132,41.31752503,-74.11504648
133,41.31464247,-74.10312669
134,41.31175862,-74.091208
135,41.3088735,-74.0792904
136,41.3059871,-74.06737389
137,41.30309942,-74.05545848
138,41.30021046,-74.04354416
139,41.29732022,-74.03163094
140,41.2944287,-74.01971881
141,41.2915359,-74.00780777
142,41.28864182,-73.99589784
143,41.28574646,-73.98398899
144,41.28284983,-73.97208125
145,41.27995192,-73.9601746
146,41.27705272,-73.94826904
147,41.27415225,-73.93636459
148,41.27125051,-73.92446123
149,41.26834748,-73.91255897
150,41.26544318,-73.90065781
151,41.2625376,-73.88875775
152,41.25963074,-73.87685878
153,41.25672261,-73.86496092
154,41.2538132,-73.85306415
155,41.25090251,-73.84116849
156,41.24799055,-73.82927392
157,41.24507731,-73.81738045
158,41.2421628,-73.80548809
159,41.38302363,-74.42912558
160,41.38017484,-74.41717903
161,41.37732477,-74.40523358
162,41.37447341,-74.3932892
163,41.37162077,-74.38134591
164,41.36876685,-74.3694037
165,41.36591164,-74.35746258
166,41.36305515,-74.34552255
167,41.36019737,-74.3335836
168,41.35733831,-74.32164573
169,41.35447797,-74.30970895
170,41.35161634,-74.29777326
171,41.34875343,-74.28583866
172,41.34588923,-74.27390514
173,41.34302375,-74.26197271
174,41.34015699,-74.25004137
175,41.33728895,-74.23811112
176,41.33441963,-74.22618196
177,41.33154902,-74.21425388
178,41.32867713,-74.20232689
179,41.32580396,-74.190401
180,41.32292951,-74.17847619
181,41.32005377,-74.16655248
182,41.31717676,-74.15462985
183,41.31429846,-74.14270832
184,41.31141889,-74.13078788
185,41.30853803,-74.11886853
186,41.30565589,-74.10695027
187,41.30277247,-74.0950331
188,41.29988778,-74.08311703
189,41.2970018,-74.07120205
190,41.29411454,-74.05928816
191,41.291226,-74.04737537
192,41.28833619,-74.03546367
193,41.28544509,-74.02355307
194,41.28255272,-74.01164356
195,41.27965907,-73.99973514
196,41.27676413,-73.98782782
197,41.27386792,-73.9759216
198,41.27097044,-73.96401647
199,41.26807167,-73.95211244
200,41.26517163,-73.94020951
201,41.2622703,-73.92830767
202,41.25936771,-73.91640693
203,41.25646383,-73.90450729
204,41.25355868,-73.89260875
205,41.25065225,-73.8807113
206,41.24774454,-73.86881496
207,41.24483556,-73.85691971
208,41.2419253,-73.84502556
209,41.23901376,-73.83313251
210,41.23610095,-73.82124056
211,41.23318686,-73.80934972
212,41.37402559,-74.43290666
213,41.37117722,-74.42096165
214,41.36832757,-74.40901773
215,41.36547663,-74.3970749
216,41.36262441,-74.38513314
217,41.35977091,-74.37319248
218,41.35691612,-74.36125289
219,41.35406005,-74.34931439
220,41.35120269,-74.33737698
221,41.34834405,-74.32544065
222,41.34548412,-74.31350541
223,41.34262292,-74.30157125
224,41.33976043,-74.28963818
225,41.33689665,-74.2777062
226,41.3340316,-74.2657753
227,41.33116526,-74.25384549
228,41.32829764,-74.24191677
229,41.32542873,-74.22998914
230,41.32255855,-74.2180626
231,41.31968708,-74.20613714
232,41.31681433,-74.19421278
233,41.3139403,-74.1822895
234,41.31106499,-74.17036732
235,41.3081884,-74.15844622
236,41.30531053,-74.14652622
237,41.30243137,-74.1346073
238,41.29955094,-74.12268948
239,41.29666922,-74.11077275
240,41.29378623,-74.09885711
241,41.29090196,-74.08694257
242,41.2880164,-74.07502911
243,41.28512957,-74.06311675
244,41.28224146,-74.05120548
245,41.27935206,-74.03929531
246,41.27646139,-74.02738623
247,41.27356944,-74.01547824
248,41.27067621,-74.00357135
249,41.26778171,-73.99166556
250,41.26488592,-73.97976086
251,41.26198886,-73.96785725
252,41.25909052,-73.95595474
253,41.2561909,-73.94405333
254,41.25329001,-73.93215301
255,41.25038783,-73.92025379
256,41.24748438,-73.90835567
257,41.24457966,-73.89645865
258,41.24167365,-73.88456272
259,41.23876637,-73.8726679
260,41.23585782,-73.86077417
261,41.23294799,-73.84888154
262,41.23003688,-73.83699001
263,41.22712449,-73.82509957
264,41.22421083,-73.81321024
265,41.36502746,-74.43668665
266,41.36217951,-74.42474319
267,41.35933028,-74.41280081
268,41.35647976,-74.40085951
269,41.35362796,-74.3889193
270,41.35077487,-74.37698016
271,41.3479205,-74.36504212
272,41.34506485,-74.35310515
273,41.34220791,-74.34116928
