nv,time,x,y,lat,lon,yearday,time_bnds,lambert_conformal_conic,tmax
0,2010-01-01 12:00:00,-4552250.0,3272000.0,51.298946,-179.11304,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4552250.0,3271000.0,51.293503,-179.10095,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4552250.0,3270000.0,51.288063,-179.08885,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4552250.0,3269000.0,51.28262,-179.07677,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4552250.0,3268000.0,51.277172,-179.06468,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4551250.0,3272000.0,51.30653,-179.10435,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4551250.0,3271000.0,51.301086,-179.09227,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4551250.0,3270000.0,51.295643,-179.08017,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4551250.0,3269000.0,51.2902,-179.06808,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4547250.0,3265000.0,51.298714,-178.98497,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4546250.0,3267000.0,51.317196,-179.00044,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4546250.0,3266000.0,51.31174,-178.98836,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4545250.0,3267000.0,51.324768,-178.99174,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4545250.0,3266000.0,51.319317,-178.97966,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4545250.0,3265000.0,51.313866,-178.96758,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4544250.0,3268000.0,51.337795,-178.99513,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4544250.0,3267000.0,51.332344,-178.98305,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4544250.0,3266000.0,51.326893,-178.97095,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4544250.0,3265000.0,51.321438,-178.95886,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4543250.0,3269000.0,51.350822,-178.99852,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4543250.0,3268000.0,51.34537,-178.98643,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4543250.0,3267000.0,51.339916,-178.97433,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4543250.0,3266000.0,51.334465,-178.96225,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4543250.0,3265000.0,51.32901,-178.95016,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4542250.0,3269000.0,51.358395,-178.98982,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4542250.0,3268000.0,51.352943,-178.97772,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4542250.0,3267000.0,51.347492,-178.96564,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4542250.0,3266000.0,51.342037,-178.95354,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4542250.0,3265000.0,51.336582,-178.94145,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4542250.0,3264000.0,51.331123,-178.92937,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3270000.0,51.37142,-178.99321,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3269000.0,51.36597,-178.98111,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3268000.0,51.360516,-178.96901,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3267000.0,51.355064,-178.95692,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3266000.0,51.34961,-178.94482,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3265000.0,51.344154,-178.93274,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3264000.0,51.338696,-178.92065,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4541250.0,3263000.0,51.333237,-178.90857,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3270000.0,51.378994,-178.9845,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3269000.0,51.373543,-178.9724,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3268000.0,51.368088,-178.9603,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3267000.0,51.362637,-178.94821,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3266000.0,51.357178,-178.93611,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3265000.0,51.351723,-178.92403,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3264000.0,51.346264,-178.91194,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4540250.0,3263000.0,51.340805,-178.89986,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4539250.0,3271000.0,51.39202,-178.9879,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4539250.0,3270000.0,51.386566,-178.97578,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4539250.0,3269000.0,51.381115,-178.96368,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4539250.0,3268000.0,51.37566,-178.95158,0,2010-01-01,-32767,12.0
0,2010-01-01 12:00:00,-4539250.0,3267000.0,51.370205,-178.9395,0,2010-01-01,-32767,12.0
